statefip,sarate
1,0.4596 
2,0.4402 
4,0.3945 
5,0.4271 
6,0.4621 
8,0.4808 
9,0.6163 
10,0.5207 
11,0.6210 
12,0.5551 
13,0.5327 
15,0.4523 
16,0.3967 
17,0.5309 
18,0.3845 
19,0.4140 
20,0.4348 
21,0.4177 
22,0.5423 
23,0.4027 
24,0.5673 
25,0.5867 
26,0.4720 
27,0.4375 
28,0.5189 
29,0.4366 
30,0.3697 
31,0.4050 
32,0.3671 
33,0.4984 
34,0.6486 
35,0.4551 
36,0.5744 
37,0.5026 
38,0.3036 
39,0.4625 
40,0.4333 
41,0.3935 
42,0.4515 
44,0.5328 
45,0.5435 
46,0.3731 
47,0.4509 
48,0.4419 
49,0.4103 
50,0.4640 
51,0.5033 
53,0.4596 
54,0.3318 
55,0.4050 
56,0.4846 
